topic0,bank,allianz,institut,kund,dresdn,frankfurt,sparkass,munch,landesbank,kredit,versicher,commerzbank,geschaft,ruck,privat,hvb,westlb,kreditinstitut,hypovereinsbank,grossbank,versich,tocht,beteil,offent,postbank,bayer,fusion,grosst,bankgesellschaft,rating,verkauf,halt,hypo,breu,gut,risik,risikovorsorg,vereinsbank,beid,sowi,etwa,derzeit,finanzdienstleist,geldhaus,dabei,sprech,filial,drei,stark,geldinstitut,zurich,berat,rund,rechtlich,lebensversicher,anteil,bilanzsumm,schad,privatbank,agentur,ubs,ausland,ausserd,vermogensverwalt,vorstandssprech,allerding,credit,hypothek,bish,hypothekenbank,vermog,chef,moglich,bankhaus,haus,eigenkapital,gross,gerling,heisst,kapital,gesamt,axa,osterreich,dg,basel,mlp,international,investmentbank,ca,direktbank,genossenschaft,gehor,austria,privatkund,laut,beteiligt,leasing,ruckversicher,banking,finanzier
 ,0.11,0.016,0.013,0.013,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic1,alt,frau,mann,heut,damal,vat,macht,jahrig,famili,sohn,jung,nam,kam,gehort,imm,mutt,ging,nie,gebor,leb,fruh,karri,begann,person,profil,arbeitet,geschicht,bekannt,brud,gab,freund,gilt,schliesslich,haus,zuruck,geword,beid,buch,fuhrt,liess,film,mal,kind,gemacht,erfahr,anfang,stet,erfolgreich,stand,galt,welt,einst,foto,bracht,studiert,arbeit,wenig,geburt,roll,tod,trat,geburtstag,best,fast,gestorb,gelernt,lebt,zog,gern,blieb,offent,reich,letzt,spielt,generation,lang,art,zweit,bekam,inzwisch,kenn,jahrzehnt,grundet,fand,zusamm,steht,kontakt,spitz,schrieb,achtzig,siebzig,erfolg,seitd,ehe,kolleg,erzahlt,ganz,nahm,eng,job
 ,0.024,0.023,0.023,0.012,0.012,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic2,imm,gut,wenig,kaum,geld,gross,ganz,heut,gerad,sogar,wohl,gibt,lang,fast,lasst,kommt,deshalb,macht,dafur,schnell,schliesslich,meist,freilich,geht,schlecht,dabei,steht,inzwisch,lass,durft,gar,immerhin,allein,oft,namlich,erfolg,bess,eher,liegt,zumind,eigent,hoch,ohnehin,wer,dennoch,damal,mittlerweil,schwer,hand,gleich,scheint,einfach,geword,obwohl,letzt,gilt,bleibt,mal,jedenfall,beispiel,gewinn,mag,daran,genug,besond,grund,hart,bald,gern,selt,statt,anfang,zeigt,billig,steckt,durchaus,richtig,beispielsweis,braucht,glaubt,trotzd,reich,probl,haufig,fehlt,gemacht,eben,bekomm,bring,vorbei,zumal,arg,lieb,spricht,teu,keinesweg,ubrig,liess,konkurrenz,best
 ,0.018,0.018,0.017,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic3,polizei,anschlag,mensch,verletzt,mann,terrorist,getotet,festgenomm,polizist,tat,drei,attentat,angab,grupp,mord,tot,mutmass,opf,terror,tod,demonstrant,gefang,vier,gewalt,schwer,entfuhr,erschoss,hatt,mindest,stadt,mitglied,gefangnis,bomb,afp,islam,behord,verdacht,islamist,qaida,demonstration,leb,ap,sicherheitskraft,verantwort,nacht,algeri,samstag,geiseln,berichtet,funf,nah,entfuhrt,explosion,festnahm,bekannt,verurteilt,uberfall,extremist,kam,lad,prot,gekomm,ums,haftling,montag,freilass,organisation,muslim,donnerstag,verhaftet,gewalttat,bombenanschlag,etwa,starb,ermordet,verubt,bewaffnet,unbekannt,dienstag,hundert,person,jugend,frau,gefund,anhang,angehor,mittwoch,sech,aktion,mitteilt,jahrig,beamt,fundamentalist,zufolg,offenbar,ermittl,gebaud,verbot,versucht,dabei
 ,0.021,0.02,0.013,0.012,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic4,gewerkschaft,arbeit,arbeitslos,arbeitgeb,beschaftigt,ig,metall,betrieb,arbeitsplatz,arbeitnehm,job,lohn,stund,streik,offent,arbeitsmarkt,verdi,dgb,dien,beschaft,woch,chef,hartz,arbeitszeit,stell,angestellt,wirtschaft,fordert,forder,tarifvertrag,gehalt,bundesanstalt,vorsitz,sozial,bundnis,industri,mitarbeit,betriebsrat,bdi,handwerk,lang,arbeitslosengeld,rund,arbeitsamt,reform,kundig,bau,angebot,arbeitgeberverband,iv,alt,erhalt,mensch,zahl,zwickel,abschluss,verband,mitglied,mindestlohn,gewerkschaftsbund,ab,branch,ba,tarifverhandl,musst,hundt,kundigungsschutz,otv,prasident,ford,konnt,etwa,tag,tarif,betroff,lohnfortzahl,sollt,tarifrund,schaff,wenig,geh,voll,warnstreik,dag,sozialhilf,statt,vereinbart,arbeitskampf,bundesregier,flexibl,abbau,druck,beim,vereinbar,uberstund,bezahlt,regel,gefordert,bundesverband,kurzung
 ,0.033,0.031,0.02,0.018,0.016,0.015,0.014,0.013,0.012,0.011,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic5,dm,milliard,umsatz,ag,ergebnis,rund,bericht,vorjahr,je,divid,geschaftsjahr,erhoht,moll,plus,zahl,verlust,gewinn,erwartet,stieg,deutlich,erzielt,aktionar,mill,steu,erreicht,grupp,gestieg,konz,jahresuberschuss,akti,insgesamt,gut,knapp,laufend,munch,ertrag,verbessert,vorstandsvorsitz,rechnet,halbjahr,vorstand,trotz,steig,inland,mrd,ausland,erstmal,hauptversamml,positiv,bereich,aufgrund,betrag,gesteigert,laut,gewohn,leicht,unverandert,gegenub,kraftig,konzernumsatz,heu,betriebsergebnis,kapital,investition,anteil,erhoh,betrug,minus,erneut,wachstum,bzw,zuruck,kapitalerhoh,end,fast,ausschutt,angab,lag,geschaftstat,mr,geschaft,stammakti,vorzugsakti,nahm,konnt,stamm,wobei,steiger,auftragseingang,dabei,gesellschaft,schilling,davon,ausserordent,frankfurt,voll,entfiel,beziffert,einschliess,halft
