topic0,dollar,new,york,street,tim,of,wall,weltweit,firma,bundesstaat,wert,sach,reich,vereinigt,the,kaliforni,washington,amerika,cent,berichtet,goldman,firm,global,sec,group,journal,los,manag,gehort,zufolg,world,milliardar,corp,bloomberg,vermog,nam,america,insgesamt,american,verdient,inc,ge,zahlt,morgan,financial,investor,and,murdoch,foto,disney,angel,verlor,news,investmentbank,geschicht,chicago,at,san,zusamm,boston,gegrundet,fuhrend,septemb,je,gehor,magazin,vergleich,borsenaufsicht,ging,schrieb,setzt,darunt,texas,list,city,general,summ,sri,kauft,lynch,weltgrosst,buffett,pro,zuvor,bill,trad,analyst,tamil,first,stanley,merrill,co,deal,verkauft,francisco,inzwisch,nachd,offenbar,ausserd,teilt
 ,0.086,0.041,0.036,0.01,0.01,0.009,0.009,0.008,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic1,bau,produkt,landwirtschaft,tier,verbrauch,herstell,lebensmittel,landwirt,betrieb,verbot,pro,bier,ess,fleisch,rauch,gentechn,wein,gefahr,bse,gesund,meng,brauerei,wass,verandert,tonn,milch,natur,umwelt,bio,flasch,handel,pflanz,bod,hektar,okolog,grun,stoff,cola,flach,getrank,schutz,zigarett,nestlé,drog,weltweit,alkohol,feld,industri,ernt,folg,brunn,zuck,jahrlich,verkauft,hergestellt,rind,enthalt,inzwisch,hof,produziert,verpack,ernahr,coca,laut,kuh,lebensmitteln,anbau,kilogramm,produktion,kunast,schwein,studi,hung,verband,streng,aign,wald,verwendet,brau,monsanto,gen,bauernverband,lit,nahrung,dos,konsument,beispiel,oetk,trink,betroff,qualitat,oko,brot,einsatz,patent,eier,gramm,nachhalt,kaffe,verwend
 ,0.011,0.008,0.008,0.007,0.007,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic2,arzt,kass,medizin,patient,medikament,krankenkass,krankenhaus,krank,gesund,versichert,klinik,gesetz,krankheit,behandl,pfleg,mittel,apothek,kost,versorg,leistung,gesundheitswes,gesundheitsreform,krankenversicher,pharma,forschung,aid,studi,merck,schwer,betroff,privat,behindert,leid,hilf,expert,ulla,arznei,untersuch,menschlich,verband,erkrank,behandelt,test,folg,roch,zulass,schering,therapi,korp,novartis,leb,heim,forsch,pharmakonz,haufig,pro,gesundheitsminist,aok,wissenschaftl,kunstlich,beitrag,arzneimittel,arztlich,verein,kassenarzt,gesundheitspolit,helf,laut,zahnarzt,sollt,operation,bislang,sterb,gesundheitsministerin,psychisch,mitglied,bekomm,virus,angehor,einzeln,syst,pfiz,durf,fresenius,chronisch,pill,erkrankt,seehof,biotech,einricht,ausserd,wissenschaft,stammzell,gefahr,bestimmt,oft,schnell,zustand,ausgab,praparat
 ,0.021,0.015,0.013,0.012,0.009,0.009,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic3,kritik,kritisiert,scharf,heftig,fordert,streit,wort,brief,vorwurf,ausser,reagiert,bezeichnet,fehl,red,falsch,sprach,debatt,woll,aussert,erklar,warnt,verantwort,wies,warf,betont,off,druck,verhalt,offenbar,verteidigt,aussag,zeigt,nannt,kritisch,reaktion,gegeb,gemacht,gegenub,diskussion,massiv,interview,vorgeh,gesagt,hart,vollig,zweifel,geaussert,ausgelost,raumt,darub,minist,sorg,meinung,angesicht,nehm,wirft,eindruck,umstritt,schreib,erneut,liess,meint,haltung,versucht,konsequenz,beklagt,zuvor,seh,schad,thema,ausdruck,wiederholt,davor,fugt,versuch,schrieb,kundigt,zugleich,auseinandersetz,zuruckhalt,kritisi,ubt,vorgeworf,hinzu,umgang,anlass,entschuld,emport,empor,gewarnt,ton,verargert,medi,stellt,seit,zitiert,rucktritt,gerat,wonach,ansicht
 ,0.037,0.017,0.012,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic4,bank,institut,frankfurt,kredit,sparkass,landesbank,commerzbank,dresdn,kund,finanzkris,grossbank,westlb,hypo,kreditinstitut,geldhaus,investmentbank,privat,postbank,hvb,risik,verlust,bayernlb,kfw,pleit,ubs,lehman,bafin,rating,kris,bilanz,kapital,eigenkapital,hypovereinsbank,bayer,hre,geldinstitut,staatlich,tocht,agentur,breu,credit,real,privatbank,verkauf,ratingagentur,aufsicht,filial,unicredit,wertpapi,vereinsbank,estat,ikb,investmentbanking,hsh,finanzaufsicht,einlag,suiss,bankgesellschaft,bankenaufsicht,steuerzahl,oppenheim,faul,riskant,boni,eigentum,morgan,haus,finanzinstitut,risikovorsorg,bilanzsumm,hypothek,angeschlag,ausserd,garanti,finanz,barclays,privatkund,finanzbranch,vermogensverwalt,finanzier,darleh,vermog,basel,broth,banking,hsbc,berat,bankhaus,lbbw,bnp,gerat,dah,fusion,gesamt,bislang,aufseh,sach,munchn,hypothekenbank,standard
 ,0.152,0.019,0.015,0.013,0.012,0.011,0.01,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic5,eu,kommission,brussel,union,niederland,national,vertrag,europas,frankreich,schwed,ungarn,parlament,beitritt,belgi,gemeinsam,kommissar,abkomm,mitglied,regierungschef,grossbritanni,mitgliedstaat,wto,gipfel,erweiter,vorschlag,mitgliedsstaat,van,schwedisch,danemark,regeln,junck,belgisch,gemeinschaft,burg,rat,stockholm,osteuropa,danisch,grenz,europaparlament,ungar,zoll,irland,strassburg,finnland,richtlini,behord,mitgliedsland,budap,kommissionsprasident,franzos,zustand,barroso,diplomat,pol,aussenminist,handel,spani,streit,binnenmarkt,itali,aufnahm,ausland,verfass,fordert,amsterdam,europaweit,durf,ministerrat,kopenhag,lissabon,beihilf,interess,mitgliedschaft,welthandelsorganisation,slowakei,kontroll,reform,tschechi,rumani,verheug,claud,finnisch,innerhalb,subvention,einfuhr,beschloss,ratsprasidentschaft,bulgari,portugal,integration,institution,zustimm,orbán,dublin,druck,holland,schutz,scheng,plan
