topic0,zins,anleih,kredit,rendit,niedrig,spar,papi,laufzeit,anleg,darleh,staatsanleih,schuld,fallig,zin,investor,gunstig,zehnjahr,bond,langfrist,kondition,hoch,liegt,zinssatz,kapitalmarkt,volum,kurzfrist,finanzier,bundesanleih,angebot,risiko,betrag,rat,wert,biet,gering,verzins,kauf,anlag,sech,kapital,finanzi,je,lieg,vergleich,steig,verschuld,sollt,betragt,pfandbrief,entsprech,zahlt,prozentpunkt,wertpapi,ruckzahl,aktuell,attraktiv,summ,tilgung,acht,null,sieb,bietet,expert,begeb,verzin,erhoht,alternativ,bund,sparbuch,zuruckzahl,bonitat,nachfrag,effektiv,schuldn,garantiert,finanziert,angelegt,bekomm,bedeutet,steigt,durchschnitt,dah,bring,funfjahr,knapp,emission,ertrag,tagesgeld,einlag,kreditnehm,gelt,immobili,aufnehm,vorzeit,leih,beispiel,steigend,fest,seri,unternehmensanleih
 ,0.034,0.03,0.024,0.023,0.014,0.014,0.013,0.012,0.011,0.009,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic1,bonn,kohl,spd,bundesregier,bundestag,bundeskanzl,kanzl,cdu,vorsitz,abgeordnet,fdp,scharping,fraktion,blum,parlamentar,kanzleramt,bundestagsabgeordnet,rexrodt,csu,bundesrepubl,fordert,stellvertret,thiers,bundestagsprasident,meint,ap,staatssekretar,kinkel,lammert,bundestagsfraktion,ausschuss,kanth,sprach,nannt,sitzung,hintz,regierungssprech,durf,diskussion,union,geissl,donnerstag,betont,bezeichnet,hein,sussmuth,altkanzl,wies,auswart,hirsch,geschaftsfuhr,woll,ansicht,heutig,generalsekretar,staatsminist,grun,csc,fraktionsvorsitz,opposition,bohl,adenau,minist,amt,gensch,bundeswirtschaftsminist,kritisiert,auffass,parlament,debatt,warf,gesprach,ruh,wort,waigel,verlangt,bundestagswahl,hjh,lambsdorff,parlamentari,ub,prasidium,diat,hey,ausgesproch,forder,fraktionschef,aussenpolit,erneut,bekraftigt,vollm,hombach,politikerin,bundestagsprasidentin,umzug,bleib,kanzleramtsminist,haushaltsausschuss,volm,vorstell
 ,0.124,0.065,0.042,0.038,0.036,0.031,0.03,0.03,0.017,0.017,0.015,0.01,0.01,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic2,akti,dax,punkt,anleg,bors,papi,titel,handl,analyst,verlor,notiert,stieg,legt,plus,mdax,fiel,aktienmarkt,minus,uhr,stand,wert,positiv,kurs,schwach,borsian,zeitweis,nachmittag,donnerstag,leitindex,index,investor,nachd,kur,verlust,gewann,tecdax,klettert,verli,oben,dow,jon,profitiert,uberrasch,rentenmarkt,erwartet,zahlt,belastet,vortag,leicht,futur,stimmung,quartal,knapp,kursgewinn,umlaufrendit,tief,druck,spitz,sorgt,nachricht,commerzbank,quartalszahl,zog,bund,enttausch,gefragt,rutscht,verteuert,konjunkturdat,kraftig,kursverlust,busst,spekulation,finanzmarkt,aktienindex,mark,ausblick,brach,kontrakt,street,erneut,wall,talfahrt,nemax,ging,sank,negativ,zugelegt,sap,erwart,hoch,zuletzt,handel,reagiert,erholt,bank,begrundet,anteilsschein,setzt,sorg
 ,0.051,0.042,0.022,0.021,0.021,0.02,0.015,0.015,0.013,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic3,gesetz,spd,bundestag,bundesrat,bundesregier,entwurf,gesetzentwurf,union,zustimm,beschloss,bund,antrag,reform,koalition,verabschiedet,schily,grun,mehrheit,regel,fdp,kompromiss,berat,kabinett,umstritt,fraktion,kritisiert,vermittlungsausschuss,entsprech,streit,vorgeseh,abgeordnet,opposition,verabschied,stimmt,abstimm,lehnt,kritik,stimm,zypri,beschluss,vorhab,neuregel,maas,bedenk,minist,vorgelegt,grundgesetz,suddeutsch,csu,tret,forder,donnerstag,justizministerin,leutheuss,enthalt,vorschlag,billigt,bundeskabinett,parlamentar,zustand,widerstand,schnarrenberg,bundesjustizministerin,bundesland,ministerin,fordert,einfuhr,ablehn,durf,vorlag,eingebracht,abgelehnt,gebilligt,beschliess,grundsatz,bundesinnenminist,landerkamm,initiativ,punkt,gefordert,novell,innenminist,verstandigt,sommerpaus,ausserd,justizminist,debatt,lesung,bundestagsfraktion,anhor,notwend,bisher,gmelin,heftig,lehn,ausschuss,durchsetz,umsetz,daubl,verlangt
 ,0.043,0.034,0.033,0.025,0.024,0.02,0.018,0.017,0.014,0.013,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic4,kund,handel,handl,filial,einzelhandel,lad,umsatz,verkauf,einkauf,discount,branch,aldi,preis,verbrauch,kett,rew,produkt,supermarkt,angebot,edeka,schleck,einzelhandl,lidl,kauf,verkauft,wal,eroffnet,gfk,konkurrenz,anbiet,geschaftsfuhr,mart,wettbewerb,ikea,tengelmann,sortiment,marktanteil,eroffn,hde,konkurrent,rabatt,billig,douglas,weihnachtsgeschaft,spar,kaufhaus,mark,plus,grupp,tchibo,lieferant,bestell,artikel,setzt,weltbild,regal,kass,konzept,meint,trend,konsument,handelskett,supermarktkett,lebensmittel,knapp,bundesweit,standort,hauptverband,mobel,klein,marktforsch,weihnacht,betreibt,buchhandl,shop,dusseldorf,servic,inzwisch,gesamt,offnungszeit,buch,gunstig,marktfuhr,haub,kauft,schliess,gleich,gekauft,preiskampf,rossmann,klassisch,geschenk,innenstadt,expansion,betreib,warenhaus,ladenschluss,quadratmet,franchis,verkaufsflach
 ,0.027,0.021,0.021,0.017,0.017,0.016,0.015,0.012,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic5,finanzminist,haushalt,steu,eichel,erhoh,bund,steuerreform,defizit,ausgab,waigel,bundesfinanzminist,entlast,einnahm,steinbruck,mehrwertsteu,schuld,senkung,etat,bundesregier,steuersenk,zusatz,senk,kurzung,finanzpolit,finanzministerium,kommend,einspar,steuererhoh,steuereinnahm,neuverschuld,spar,koalition,abbau,minist,burg,belast,stabilitatspakt,abgab,finanz,reform,bundeshaushalt,steuerpolit,sparpaket,ausgeg,okosteu,haushaltsdefizit,haushaltspolit,bruttoinlandsprodukt,spielraum,gemeind,bundesfinanzministerium,kass,opposition,budget,investition,plan,gesenkt,ziel,beschloss,lafontain,erhoht,stuf,schaubl,finanzier,laufend,finanzi,anheb,angesicht,abschaff,massnahm,einkommensteu,entlastet,maastricht,verschuld,solidaritatszuschlag,sparkur,sink,vorgeseh,drastisch,gewerbesteu,einfuhr,steuersatz,jahrlich,kurz,spitzensteuersatz,null,spd,einschnitt,steuerschatz,schuldenbrems,staatsfinanz,uberschuss,pakt,billion,einhalt,staatshaushalt,last,kommun,finanzplan,mehreinnahm
